@relation 'numeric-weka.filters.unsupervised.attribute.Remove-R1-27,30-56,58-72,74-89,91-93,95-124,127-129,131-137,139-188,190-191,194-198,203-210,212-216,219-229'

@attribute Var28 numeric
@attribute Var29 numeric
@attribute Var57 numeric
@attribute Var73 numeric
@attribute Var90 numeric
@attribute Var94 numeric
@attribute Var125 numeric
@attribute Var126 numeric
@attribute Var130 numeric
@attribute Var138 numeric
@attribute Var189 numeric
@attribute Var192 numeric
@attribute Var193 numeric
@attribute Var199 numeric
@attribute Var200 numeric
@attribute Var201 numeric
@attribute Var202 numeric
@attribute Var211 numeric
@attribute Var217 numeric
@attribute Var218 numeric
@attribute Var230 {0,1}

@data
166.56,?,4.0769,36,?,?,720,8,?,?,462,250,26,6419,0,0,3948,1,16815,2,0
353.52,?,5.408,26,?,58158,0,?,?,?,?,102,26,7842,0,0,4745,1,0,0,0
220.08,?,6.5997,130,?,?,5967,-28,?,?,?,276,6,7855,21344,2,479,1,11651,1,0
22.08,?,1.9883,12,?,?,0,-14,?,?,?,300,26,588,0,0,3172,2,12591,1,0
200,?,4.5524,82,?,89754,15111,58,?,?,?,148,26,3825,373,2,5898,1,5272,1,0
200,?,0.16642,126,?,?,1935,?,?,?,?,309,1,5332,0,0,3679,1,18854,1,0
176.56,?,5.4486,114,?,?,13194,-24,?,?,228,192,1,2820,10144,2,563,2,7318,1,0
230.56,?,5.0675,18,?,?,0,-8,?,?,?,274,26,2149,0,0,2312,2,3011,1,0
300.32,?,2.0457,72,?,45645,2754,?,?,?,?,44,26,6616,22446,2,138,1,0,0,0
166.56,?,6.3269,114,?,125060,6561,?,?,?,?,153,1,6025,4233,2,1781,1,11588,1,0
133.12,?,4.0916,128,?,?,5823,58,?,?,?,206,37,7384,3844,2,3320,1,9295,1,0
133.12,?,4.4322,76,?,180960,66825,52,?,?,234,254,26,6398,21134,2,4218,1,10556,1,0
240.56,?,1.8996,148,?,?,44154,10,?,?,?,185,44,4837,3193,0,3248,1,10296,2,0
176.56,?,2.5249,48,?,?,5202,?,?,?,?,253,26,7299,17191,2,5945,1,19037,2,0
236.08,?,3.3572,34,?,4440,31104,8,?,?,264,33,26,4837,0,0,3369,1,14605,2,0
166.56,?,1.2245,132,?,?,2574,?,?,?,240,231,1,2053,18166,0,5734,1,6,2,0
220.08,?,2.8737,158,?,?,8019,?,?,?,?,130,44,6407,2601,2,630,1,794,1,0
166.56,?,3.3083,140,?,?,5319,?,?,?,?,126,6,4519,0,0,5813,1,4469,1,0
253.52,?,5.4309,66,?,?,13788,4,?,?,?,203,26,1243,21842,2,102,1,6420,1,0
166.56,?,5.4029,38,?,822,7110,?,?,?,132,123,26,7702,0,0,5141,1,13453,1,0
272.08,?,0.16706,16,?,97266,0,-8,?,?,282,68,26,929,0,0,3907,2,11843,1,0
86.96,?,0.12049,16,?,?,0,-10,?,?,?,203,26,6082,0,0,4323,1,15700,1,0
166.56,?,3.7146,60,?,?,531,36,?,?,330,367,26,2269,21234,0,4833,1,4488,1,0
198.88,?,0.96475,36,?,?,16803,12,?,?,?,114,26,80,0,0,1308,1,13944,1,0
200,?,1.3788,96,?,75,25740,?,?,?,240,178,26,5935,7815,2,1123,1,11307,2,0
20.08,?,4.4435,34,?,678280,10368,?,?,?,?,173,26,415,0,0,1658,1,10056,2,0
?,?,4.9391,8,?,?,?,-16,?,0,?,53,26,2585,0,0,4151,2,4980,1,0
133.12,?,2.8186,98,?,?,1701,32,?,?,?,379,26,1411,11839,2,2593,1,17396,1,0
257.28,?,3.292,144,?,?,223920,?,?,?,282,71,1,5645,11196,0,1218,1,11636,2,0
200,?,1.7706,20,?,39879,0,-4,?,?,?,216,26,4161,0,0,4964,1,10019,2,0
166.56,?,2.1995,88,?,50238,31095,?,?,?,?,83,26,4837,1356,0,370,1,5848,2,0
285.2,?,6.4631,168,?,16263,109730,?,?,?,?,105,46,3289,5967,0,2273,1,13279,2,0
220.08,?,5.2497,76,?,205950,8523,?,?,?,330,172,26,5614,7962,2,539,1,16152,1,0
133.12,?,1.9413,50,?,25446,48285,-28,?,?,?,247,26,1509,2371,2,122,1,896,1,0
133.12,?,1.0103,94,?,193170,3861,22,?,?,342,157,26,3819,20652,0,553,1,3327,2,0
