@relation 'numeric-weka.filters.unsupervised.attribute.Remove-R1-27,29-37,39-80,82-118,120-125,127-152,154-193,195-200,202-203,205,208-209,213-217,219-220,222-224,229'

@attribute Var28 numeric
@attribute Var38 numeric
@attribute Var81 numeric
@attribute Var119 numeric
@attribute Var126 numeric
@attribute Var153 numeric
@attribute Var194 numeric
@attribute Var201 numeric
@attribute Var204 numeric
@attribute Var206 numeric
@attribute Var207 numeric
@attribute Var210 numeric
@attribute Var211 numeric
@attribute Var212 numeric
@attribute Var218 numeric
@attribute Var221 numeric
@attribute Var225 numeric
@attribute Var226 numeric
@attribute Var227 numeric
@attribute Var228 numeric
@attribute Label {0,1}

@data
166.56,3570,7333.1,1175,8,1812300,0,0,29,13,11,7,1,47,2,5,0,25,3,9,0
353.52,4765000,151100,590,?,10439000,0,0,81,22,11,7,1,36,0,5,0,16,3,9,0
220.08,5883900,16212,3230,-28,9826400,2,2,39,13,6,7,1,45,1,1,2,12,1,26,0
22.08,0,?,?,-14,0,0,0,59,0,11,7,2,36,1,5,0,8,3,9,0
200,0,37424,215,58,644840,2,2,45,5,11,7,1,47,1,5,2,8,3,9,0
200,0,11371,755,?,745620,0,0,100,20,6,7,1,6,1,7,0,11,1,20,0
176.56,13158,31655,1080,-24,2345400,3,2,3,13,11,7,2,47,1,5,2,8,3,3,0
230.56,3776500,402440,215,-8,10577000,0,0,45,8,11,7,2,36,1,5,0,8,3,9,0
300.32,6014500,117760,790,?,10406000,2,2,42,8,9,2,1,17,0,7,2,9,2,23,0
166.56,5318000,149690,1065,?,7608800,2,2,85,11,11,7,1,65,1,5,2,8,3,3,0
133.12,3534,2739.1,215,58,28704,2,2,38,13,5,7,1,7,1,7,2,14,4,26,0
133.12,446870,9885.1,295,52,613120,2,2,45,19,11,7,1,36,1,5,2,8,3,9,0
240.56,0,34917,205,10,0,0,0,73,12,5,5,1,43,2,7,0,18,4,27,0
176.56,87294,19991,1575,?,5710700,2,2,91,8,11,7,1,36,2,5,3,12,3,9,0
236.08,8521600,32325,1325,8,10297000,0,0,2,22,11,7,1,36,2,5,0,9,3,9,0
166.56,0,1691.8,20,?,17016,0,0,7,20,11,7,1,65,2,5,1,12,3,3,0
220.08,3253500,25544,2470,?,9025200,2,2,85,12,5,7,1,47,1,5,2,8,4,27,0
166.56,548750,30019,690,?,982040,0,0,4,20,5,7,1,41,1,3,0,14,4,26,0
253.52,0,232930,165,4,2898000,3,2,45,8,11,7,1,36,1,5,2,8,3,9,0
166.56,0,46264,845,?,2807700,0,0,98,19,11,7,1,36,1,5,0,3,3,9,0
272.08,4663600,177740,590,-8,10535000,0,0,16,8,11,7,2,36,1,5,0,13,3,9,0
86.96,7642300,556520,70,-10,9669000,0,0,45,8,11,7,1,36,1,5,0,8,3,9,0
166.56,0,10732,710,36,637640,0,0,37,8,11,7,1,36,1,5,1,2,3,9,0
198.88,284240,192870,540,12,9935600,0,0,86,8,11,7,1,36,1,5,0,14,3,9,0
200,0,57765,795,?,4009000,2,2,81,16,11,7,1,65,2,5,3,16,3,9,0
20.08,7116100,155350,555,?,10453000,0,0,71,2,6,7,1,20,2,4,0,16,5,9,0
?,?,?,?,-16,?,0,0,50,0,11,7,2,36,1,5,0,8,3,9,0
133.12,29988,3849,1110,32,453400,2,2,49,19,11,7,1,36,1,5,2,15,3,9,0
257.28,0,81690,0,?,0,0,0,70,13,11,5,1,47,2,5,0,18,3,3,0
200,0,4932.4,835,-4,489120,0,0,28,22,11,7,1,36,2,5,0,13,3,9,0
166.56,0,48747,470,?,2092400,0,0,26,8,11,7,1,36,2,5,1,23,3,9,0
285.2,1036800,265430,240,?,1808500,0,0,31,16,5,7,1,74,2,7,1,12,4,26,0
220.08,164810,220970,505,?,10308000,2,2,36,8,11,7,1,36,1,5,2,11,3,9,0
133.12,2454400,184630,620,-28,10533000,2,2,59,8,11,7,1,36,1,5,2,8,3,9,0
133.12,53052,5657.1,1790,22,1404600,0,0,84,13,11,7,1,47,2,5,1,3,3,9,0
89.84,0,?,?,4,0,0,0,47,0,5,7,1,36,2,5,0,2,4,9,0
200,18864,3181.4,1670,4,625280,0,0,46,8,6,7,1,20,2,4,0,20,5,9,0
336.56,256270,21754,475,-30,2755500,0,0,67,8,9,7,1,24,1,7,0,8,2,8,0
213.36,2152000,90485,445,14,1904100,0,0,29,22,11,7,1,36,1,5,0,25,3,9,0
203.44,2106200,61934,800,-24,5694600,0,0,55,8,8,7,2,31,2,1,0,7,1,30,0
200,48150,24025,1050,44,3116600,2,2,81,19,11,7,1,36,1,5,2,16,3,9,0
133.12,0,2852.8,380,22,102570,0,0,83,20,5,7,1,7,2,7,1,25,4,12,0
?,?,?,?,-18,?,0,0,6,0,6,7,2,20,2,4,0,19,1,9,0
191.36,664600,11242,580,4,648440,0,0,56,8,6,7,1,20,1,4,1,22,5,9,0
120.4,0,152440,180,-20,0,0,0,46,22,11,7,2,36,2,5,0,20,3,9,0
397.44,122240,189330,20,-12,1009800,0,0,101,8,11,7,2,36,1,5,0,8,3,9,0
133.04,3902300,154310,745,42,10523000,2,2,98,2,11,7,1,36,1,5,3,3,3,9,0
186.64,0,174300,225,4,0,0,0,53,22,11,7,1,36,1,5,0,11,3,9,0
137.68,3414,41305,645,?,2744700,2,2,101,8,11,5,1,36,1,5,2,8,3,3,0
274.16,0,0,0,?,0,0,0,40,8,11,7,1,36,2,5,0,13,3,9,0
220.08,6106400,200040,370,?,9682400,0,0,19,22,11,7,1,36,2,5,0,19,3,9,0
133.12,168600,4593.6,945,?,503740,0,0,97,12,5,7,1,41,2,3,1,23,4,26,0
286.96,518400,154710,495,4,9522800,0,0,51,22,11,7,1,36,2,5,0,3,3,9,0
282.56,2668300,60241,620,-22,10414000,0,0,45,22,11,7,2,36,1,5,0,8,3,9,0
234.72,136900,240700,250,4,10398000,0,0,91,8,11,7,1,36,1,5,0,12,3,9,0
642.64,1064200,179570,855,?,10721000,0,0,47,20,9,7,1,24,2,7,1,2,2,14,0
133.12,12276,3553.9,845,40,452880,0,0,41,12,11,7,1,47,2,5,1,3,3,9,0
198.88,7736500,109280,570,-20,10612000,0,0,101,8,9,7,2,24,1,7,0,8,2,14,1
86.96,1922000,146700,765,4,11330000,0,0,20,8,11,7,1,36,2,5,0,12,3,9,0
253.52,2925200,131820,530,30,10170000,0,0,1,18,5,7,1,51,2,5,1,5,4,26,0
186.64,5602400,223920,405,6,10143000,2,2,17,16,11,7,1,47,2,5,3,15,3,3,0
166.56,0,22227,380,24,897900,0,0,5,8,9,7,1,24,2,7,1,14,2,14,0
379.6,1326400,144450,605,6,10257000,0,0,18,8,11,7,1,36,2,5,0,23,3,9,0
166.56,4325400,379400,215,?,8486300,0,0,63,8,6,7,1,20,2,4,0,15,1,9,0
286.96,3916600,19654,5005,-20,9534000,0,0,13,2,11,7,2,36,1,5,0,14,3,9,0
133.12,0,9088.4,1735,28,1094200,0,0,74,20,5,7,1,22,2,3,0,20,7,18,0
186.64,5992500,219610,535,?,10454000,2,2,81,20,11,7,1,65,1,5,3,16,3,3,0
166.56,450,3520.5,565,?,171730,2,2,49,13,11,7,1,47,1,5,2,15,3,15,0
176.56,8229400,6598,5175,?,10552000,0,0,95,13,5,7,1,46,2,7,1,5,4,26,0
166.56,0,0,0,60,0,2,2,80,19,11,7,1,36,1,5,2,17,3,9,0
220.08,4533400,158630,630,?,10671000,0,0,43,8,6,7,1,20,2,4,0,5,5,9,0
392.08,0,0,0,4,0,0,0,45,8,11,7,1,36,1,5,0,8,3,9,1
153.2,475240,219780,425,?,10375000,2,2,48,10,11,7,1,36,1,5,2,7,3,9,0
253.52,9190400,209580,555,4,10863000,0,0,44,22,11,7,1,36,2,5,0,14,3,9,0
186.64,4567700,46012,1180,28,9275900,0,0,59,8,11,7,1,36,1,5,1,8,3,9,0
?,?,?,?,?,?,0,0,26,0,11,7,1,36,2,5,0,23,3,9,0
200,3702,7624.5,180,?,199680,0,0,46,12,11,7,1,47,1,5,1,20,3,9,0
166.56,6123800,60488,795,?,7929800,2,2,71,19,11,7,1,36,2,5,2,16,3,9,0
200,2182800,6327.3,1205,34,4362900,2,2,95,21,5,7,1,51,2,5,2,5,4,27,0
313.68,0,91851,195,4,936560,0,0,38,8,11,7,1,36,1,5,0,14,3,1,0
253.52,1271500,231200,345,-30,8131100,2,2,2,12,5,7,1,30,1,7,2,9,4,15,0
220.08,9187700,81335,865,?,10781000,0,0,80,8,6,7,1,20,2,4,0,17,1,9,0
166.56,0,16249,330,8,1008500,0,0,41,20,6,7,1,45,1,1,0,3,1,12,0
0,0,0,0,?,0,0,0,74,8,11,5,1,36,2,5,0,20,3,9,0
23.36,0,211960,200,-6,9269500,0,0,53,8,11,7,2,36,1,5,0,11,3,9,0
200,0,25945,640,16,1659400,0,0,67,8,11,7,1,36,1,5,0,8,3,9,0
?,?,?,?,4,?,0,0,60,0,11,7,1,36,2,5,0,12,3,9,0
719.92,3320300,61825,1830,-2,10508000,0,0,35,22,11,5,1,36,2,5,0,18,3,9,0
320.4,9312800,216190,515,30,10621000,0,0,80,10,11,7,1,36,1,5,1,17,3,9,0
?,?,?,?,4,?,0,0,43,0,11,7,1,36,2,5,0,5,3,9,0
254.72,7747900,226800,415,-22,7901600,0,0,82,22,11,7,2,36,2,5,0,5,3,9,0
157.68,145720,45756,915,24,2812300,0,0,86,5,11,7,1,47,2,5,1,14,3,9,0
230.56,5958300,337830,190,-4,9246900,0,0,38,22,9,7,2,24,1,7,0,14,2,14,0
220.08,4162600,212270,535,14,10320000,0,0,36,20,11,7,1,65,2,5,1,11,3,12,0
166.56,948190,87128,690,?,3260700,2,2,96,13,5,7,1,45,1,1,2,25,4,27,0
318.88,4402600,102690,535,36,10538000,2,2,90,20,2,7,1,45,1,1,2,20,1,12,0
100.32,0,5705.2,660,4,332620,0,0,44,8,9,7,1,24,2,7,1,14,2,14,0
253.52,7338400,167650,1245,30,10240000,2,2,29,8,6,7,1,20,1,4,2,25,5,9,0
20.08,6457000,161650,300,-10,10180000,0,0,85,8,11,7,1,36,1,5,0,8,3,9,0
220.08,2973600,196120,515,10,10040000,0,0,49,22,9,7,1,17,2,7,0,15,2,23,0
257.28,7364800,43760,935,-24,10533000,0,0,96,15,11,7,2,47,2,5,1,25,3,9,0
?,?,?,?,-14,?,0,0,82,0,11,7,2,36,2,5,0,5,3,9,0
166.56,0,8581.8,250,34,258720,0,0,33,8,9,7,1,17,2,7,1,7,2,23,0
166.56,0,51799,540,-26,962180,2,2,101,19,11,7,1,36,1,5,2,8,3,9,0
166.56,6371300,157360,1350,?,10506000,2,2,101,19,11,7,1,36,1,5,2,8,3,3,0
299.2,1365200,133660,560,?,9457100,0,0,29,8,11,7,1,36,1,5,0,25,3,9,0
176.56,2172600,112850,655,22,10537000,2,2,85,2,11,7,1,36,1,5,2,8,3,9,0
253.52,10855000,148380,560,?,10706000,0,0,18,22,11,7,1,36,1,5,0,23,3,9,0
20.08,8579900,96200,535,4,8720000,0,0,99,2,6,7,1,20,1,4,0,20,5,9,0
?,?,?,?,-18,?,0,0,61,0,11,7,2,36,2,5,0,12,3,9,0
166.56,1107300,22716,1970,?,3330700,0,0,43,12,2,7,1,20,2,4,1,5,1,26,0
186.64,0,4918.1,1145,4,1072100,0,0,49,13,11,7,1,47,2,5,1,15,3,9,0
146.48,0,5576.9,330,?,439540,2,2,88,10,11,7,1,36,2,5,2,3,3,9,0
133.76,0,7803,515,?,443480,2,2,7,5,5,7,1,43,2,7,2,12,4,27,0
166.56,0,4173.9,405,4,123820,0,0,9,8,6,7,1,20,2,4,0,4,1,9,0
220.08,195110,40320,665,6,2167800,0,0,37,20,5,7,1,46,2,7,1,2,4,12,0
265.76,8440600,203340,495,-20,10372000,0,0,45,22,11,7,2,36,1,5,0,8,3,9,0
166.56,0,3028.3,315,6,104870,0,0,60,12,5,7,2,70,2,3,1,12,7,17,0
286.96,10035000,195840,550,-22,10575000,2,2,81,8,11,7,2,36,1,5,2,16,3,9,1
286.96,3632100,218610,515,-20,10332000,2,2,98,20,11,7,2,65,2,5,3,3,3,3,0
256.88,9849600,85881,490,?,10545000,2,2,29,10,11,7,1,36,1,5,2,25,3,9,0
125.44,0,892.69,1185,?,157430,0,0,100,8,11,7,1,36,2,5,0,11,3,9,0
253.52,5625100,91032,1115,4,10709000,0,0,39,22,11,7,1,36,1,5,0,12,3,9,0
286.96,5467900,73202,2845,?,10587000,2,2,7,12,11,7,1,47,1,5,2,12,3,3,0
166.56,0,14202,85,4,8400,2,2,85,8,11,7,1,36,1,5,2,8,3,9,0
220.08,1612100,197770,545,?,10164000,2,2,21,19,11,7,1,36,0,5,2,15,3,9,0
133.12,10740,8298.8,1625,34,1229600,0,0,69,20,5,7,1,22,2,3,1,19,4,26,0
133.12,960,20613,1275,-30,2008900,2,2,58,21,5,7,1,51,1,5,2,20,4,16,0
200,181760,7777.3,1145,?,1010600,2,2,38,4,10,7,1,30,1,7,2,14,2,20,0
?,?,?,?,-30,?,0,0,3,0,11,7,2,36,2,5,0,8,3,9,0
265.04,3310200,123060,605,-22,10114000,2,2,59,19,11,7,2,36,1,5,2,8,3,9,0
?,?,?,?,-16,?,0,0,46,0,11,7,2,36,2,5,0,20,3,9,0
407.36,8146300,200560,620,?,10634000,0,0,74,19,9,7,1,24,2,7,0,20,2,14,0
?,?,?,?,4,?,0,0,49,0,6,7,1,20,2,4,0,15,1,9,0
186.64,3192000,153960,550,-30,10335000,0,0,98,8,11,7,1,36,2,5,0,3,3,9,0
253.52,1363100,187520,610,34,10211000,0,0,4,11,5,7,1,7,2,7,1,14,4,12,0
220.08,10368000,192640,515,?,10467000,2,2,82,8,11,7,1,36,1,5,2,5,3,9,0
166.56,48420,5449,395,?,238460,2,2,85,20,5,7,1,7,1,7,2,8,4,12,0
186.64,6042200,81452,1330,?,9897300,0,0,28,8,9,7,1,17,2,7,0,13,2,23,0
200,0,3813,0,6,0,0,0,42,8,9,7,1,17,2,7,0,9,2,23,0
257.04,5467000,162360,455,-26,9207600,0,0,7,8,11,7,1,36,2,5,0,12,3,9,0
257.76,10151000,34492,550,-24,10093000,0,0,21,10,11,7,2,36,2,5,1,15,3,9,0
229.92,0,4539.4,385,-26,465560,0,0,17,8,11,7,1,36,2,5,0,15,3,9,0
265.6,1489700,181290,435,-22,9790100,0,0,56,22,11,7,2,36,2,5,0,22,3,9,0
286.96,4752100,194090,540,40,10381000,0,0,80,8,11,7,1,36,2,5,1,17,3,9,0
257.6,4722700,199090,590,4,10336000,0,0,91,8,11,7,1,36,1,5,0,12,3,9,0
268.72,3166100,198900,365,20,7492300,0,0,63,5,11,7,1,47,2,5,0,15,3,15,0
?,?,?,?,?,?,0,0,37,0,6,7,1,20,2,4,0,2,1,9,0
357.36,4277000,125790,895,?,9734800,0,0,26,2,8,2,1,31,2,1,0,23,1,30,0
336.56,6747600,335670,95,4,8503700,0,0,72,8,11,7,1,36,2,5,0,6,3,9,0
186.64,0,220500,320,8,9872900,0,0,81,20,5,7,1,22,2,3,1,16,7,18,0
233.44,9067800,178510,585,-20,10548000,0,0,15,8,11,7,2,36,2,5,0,2,3,9,0
233.44,4517300,56429,1760,?,10723000,0,0,43,17,11,7,1,47,2,5,1,5,3,3,0
200,0,5314.3,1100,4,777840,0,0,33,17,11,7,1,47,2,5,0,7,3,9,0
186.64,7266500,226370,510,20,10719000,2,2,98,13,11,7,1,47,2,5,2,3,3,3,1
286.96,2073600,128810,430,-30,9502300,0,0,89,8,11,7,1,36,2,5,0,13,3,9,0
286.96,0,23439,335,4,0,0,0,39,15,6,7,1,45,2,1,1,12,1,12,0
166.56,12360,3922.5,1350,4,697590,0,0,44,16,11,7,1,47,2,5,1,14,3,15,0
200,116310,12560,1685,?,1873300,2,2,38,10,11,7,1,36,1,5,2,14,3,9,0
264.64,1384800,41549,335,4,3711700,0,0,33,8,11,7,1,36,1,5,0,7,3,9,0
286.96,1130000,178760,525,30,10289000,2,2,45,10,11,7,1,36,1,5,2,8,3,9,0
200,279310,13612,575,-30,1054300,2,2,66,17,11,7,1,47,2,5,2,25,3,9,0
220.08,3703800,34123,3380,?,10632000,0,0,86,8,11,7,1,36,1,5,0,14,3,9,0
240.56,4356000,80076,950,?,7378100,0,0,70,17,11,5,1,47,2,5,0,18,3,9,0
?,?,?,?,4,?,0,0,72,0,6,7,1,20,2,4,0,6,1,9,0
286.96,3847600,143470,685,-20,9218000,2,2,56,8,11,7,2,36,1,5,2,22,3,9,0
176.56,2286,7306.7,1525,4,1054700,2,2,101,2,4,7,1,63,1,7,2,8,2,30,0
286.96,4252800,185190,490,10,10427000,2,2,91,13,5,2,1,46,1,7,2,12,4,26,0
288.48,2190600,204560,370,4,10543000,0,0,58,8,11,7,1,36,1,5,0,20,3,9,0
186.64,3507200,193110,535,12,10440000,0,0,55,22,6,7,1,20,2,4,0,7,5,9,0
166.56,67422,7212.8,1485,?,922990,0,0,91,19,11,7,1,36,1,5,1,12,3,9,0
?,?,?,?,-14,?,0,0,45,0,11,7,2,36,1,5,0,8,3,9,0
?,?,?,?,?,?,0,0,96,0,6,7,1,20,2,4,0,25,1,9,0
?,?,?,?,-14,?,0,0,45,0,11,7,2,36,1,5,0,8,3,9,0
253.52,3455600,185110,710,8,10474000,0,0,1,13,6,7,1,20,2,4,1,5,5,9,0
0,1835600,220640,400,?,9597000,0,0,7,12,6,7,1,20,2,4,0,12,5,12,0
92.88,5480700,192590,565,-20,10315000,0,0,8,8,11,7,2,36,2,5,0,11,3,9,0
220.08,0,203420,485,-30,10246000,0,0,50,19,11,7,1,36,1,5,0,8,3,9,1
186.64,251750,22965,380,16,1004500,0,0,100,22,11,7,1,36,1,5,0,11,3,9,0
166.56,9588,22332,705,4,3234500,0,0,3,8,5,7,1,36,0,5,0,8,4,1,0
201.36,4785800,231100,465,-24,8487600,0,0,50,12,5,7,2,70,1,3,0,8,4,27,0
200,73764,50585,690,?,2372700,2,2,77,21,5,7,1,51,2,5,3,6,4,27,0
186.64,0,227430,495,4,10612000,0,0,19,22,11,7,1,36,2,5,0,19,3,9,0
?,?,?,?,-20,?,0,0,81,0,8,7,2,63,1,7,0,16,1,30,0
302.96,5232600,35288,3015,-22,9675400,0,0,81,8,11,7,2,36,2,5,0,16,3,9,0
?,?,?,?,4,?,0,0,29,0,11,7,1,36,2,5,0,25,3,9,0
186.64,5300300,86719,1250,4,10147000,0,0,7,8,11,7,1,36,2,5,0,12,3,9,0
20.08,0,213410,75,-10,4268300,0,0,88,8,11,7,1,36,2,5,0,3,3,9,0
166.56,2664,5447.8,995,16,509920,0,0,48,8,11,7,1,36,1,5,0,7,3,9,0
254.72,4239300,206000,550,?,10517000,0,0,46,19,11,7,1,36,1,5,0,20,3,3,0
186.64,5064300,30911,875,?,10370000,0,0,96,22,11,7,1,36,1,5,0,25,3,9,0
166.56,1107400,25842,1475,36,3305800,0,0,70,8,9,5,1,17,2,7,0,18,2,23,0
220.48,90306,16624,405,20,1428100,0,0,70,8,11,5,1,36,2,5,0,18,3,9,0
76.88,19908,4359.5,265,-22,89248,0,0,77,8,10,7,2,30,2,7,1,6,2,20,0
327.28,925170,40342,1055,?,4998900,0,0,15,21,5,7,1,33,1,7,0,2,4,19,0
?,?,?,?,-14,?,0,0,19,0,11,7,2,36,1,5,0,19,3,9,0
198.88,6711200,240730,230,4,10296000,0,0,93,8,11,7,1,36,1,5,0,12,3,9,0
166.56,2100500,26459,385,4,7895500,2,2,91,19,6,7,1,20,1,4,3,12,5,9,0
263.52,4344400,42840,2320,-20,10746000,0,0,58,8,11,7,2,36,1,5,0,20,3,9,0
220.08,479570,68481,520,?,10373000,2,2,67,19,11,7,1,36,1,5,2,8,3,3,0
284.88,3110400,196970,550,-18,10322000,0,0,55,22,11,7,2,36,2,5,0,7,3,9,0
220.08,0,38206,330,?,9676800,2,2,18,16,11,7,1,47,2,5,3,23,3,9,0
?,?,?,?,-18,?,0,0,83,0,5,7,2,64,2,3,0,25,7,30,0
273.6,3865400,88428,945,-22,6620800,2,2,28,8,11,7,2,36,1,5,2,13,3,9,0
278.48,2539500,80884,665,-14,6756400,2,2,67,8,11,7,2,36,1,5,2,8,3,9,0
253.52,7732900,218430,530,-20,10454000,0,0,29,22,11,7,2,36,1,5,0,25,3,9,0
233.44,3172300,225850,620,30,10310000,2,2,46,8,11,7,1,36,2,5,3,20,3,9,0
186.64,5627500,34901,2260,?,9175700,2,2,45,21,5,7,1,73,1,3,2,8,4,11,0
410.64,6450600,150530,610,?,8398200,0,0,73,8,11,5,1,36,2,5,0,18,3,9,0
267.04,7902100,78792,685,-30,10602000,2,2,85,5,11,7,1,47,1,5,2,8,3,9,0
176.56,432280,16424,925,-28,2962900,0,0,49,21,5,7,1,54,1,3,1,15,4,26,0
220.08,476180,89800,535,?,3112100,0,0,42,8,11,7,1,36,1,5,0,9,3,9,0
20.08,505170,85834,745,4,9997400,0,0,7,13,10,7,1,30,2,7,0,12,2,20,0
256.16,3799700,211330,510,14,10117000,0,0,86,22,6,7,1,20,2,4,0,14,5,9,0
451.76,903340,12289,1675,-12,5489300,0,0,70,8,11,5,1,36,2,5,0,18,3,9,0
200,275180,34930,795,4,2724800,0,0,97,2,11,7,1,36,1,5,0,23,3,9,0
166.56,1368900,12637,1010,?,2038000,0,0,56,20,11,7,1,65,2,5,1,22,3,12,0
327.6,0,7753.6,770,4,1484100,0,0,48,8,11,7,1,36,1,5,0,7,3,9,0
0,0,0,0,?,0,2,2,38,8,11,5,1,36,1,5,3,14,3,3,0
318.08,1555200,82462,665,-20,9142000,0,0,51,16,5,7,2,17,2,7,1,3,4,27,0
263.52,3288200,142430,855,4,9412300,0,0,52,22,11,7,1,36,2,5,0,7,3,9,0
186.64,2783400,218850,450,4,10542000,0,0,10,8,11,7,1,36,2,5,0,1,3,9,0
243.92,5282900,75209,1130,-8,8959200,0,0,45,8,11,7,2,36,1,5,0,8,3,9,0
166.56,0,20100,215,14,218320,0,0,31,8,11,7,1,36,2,5,0,12,3,9,0
266.88,6056500,162140,970,?,10646000,0,0,39,19,11,7,1,36,2,5,1,12,3,9,0
?,?,?,?,-20,?,0,0,98,0,11,7,1,36,1,5,0,3,3,9,0
266.88,7231300,156570,1265,-30,9670000,2,2,93,8,11,2,1,36,1,5,2,12,3,9,0
?,?,?,?,-18,?,0,0,59,0,11,7,2,36,1,5,0,8,3,9,0
253.52,0,26873,715,-20,2920500,2,2,3,8,5,7,2,30,1,7,3,8,2,30,0
186.64,4565700,220190,440,8,7083700,0,0,102,22,11,7,1,36,1,5,0,6,3,9,0
234.72,5184000,117210,480,?,10513000,2,2,101,19,11,7,1,36,1,5,2,8,3,3,0
166.56,632990,16403,1150,22,1678100,0,0,18,5,11,7,1,47,2,5,1,23,3,12,0
166.56,0,77402,430,34,3212300,0,0,15,8,10,7,1,37,1,7,0,2,2,30,0
286.96,5578000,65414,645,32,10581000,2,2,56,21,5,7,1,59,1,1,2,22,4,11,0
