@relation 'numeric churn-weka.filters.unsupervised.attribute.Remove-R1-56,58-72,75-80,82-112,114-118,120-125,127-188,190-191,193-198,200-201,203-204,206-209,213-215,219,221-225,227-229'

@attribute Var57 numeric
@attribute Var73 numeric
@attribute Var74 numeric
@attribute Var81 numeric
@attribute Var113 numeric
@attribute Var119 numeric
@attribute Var126 numeric
@attribute Var189 numeric
@attribute Var192 numeric
@attribute Var199 numeric
@attribute Var202 numeric
@attribute Var205 numeric
@attribute Var210 numeric
@attribute Var211 numeric
@attribute Var212 numeric
@attribute Var216 numeric
@attribute Var217 numeric
@attribute Var218 numeric
@attribute Var220 numeric
@attribute Var226 numeric
@attribute Label {0,1}

@data
4.0769,36,35,7333.1,117630,1175,8,462,250,6419,3948,2,7,1,47,1085,16815,2,129,25,0
5.408,26,0,151100,-356410,590,?,?,102,7842,4745,3,7,1,36,1779,0,0,17,16,1
6.5997,130,518,16212,405100,3230,-28,?,276,7855,479,2,7,1,45,2152,11651,1,1707,12,0
1.9883,12,0,?,-275700,?,-14,?,300,588,3172,2,7,2,36,1912,12591,1,1894,8,0
4.5524,82,224,37424,10715,215,58,?,148,3825,5898,3,7,1,47,10,5272,1,2295,8,0
0.16642,126,196,11371,369810,755,?,?,309,5332,3679,2,7,1,6,2272,18854,1,1834,11,0
5.4486,114,392,31655,-808530,1080,-24,228,192,2820,563,2,7,2,47,10,7318,1,1714,8,0
5.0675,18,0,402440,101920,215,-8,?,274,2149,2312,2,7,2,36,247,3011,1,2759,8,0
2.0457,72,91,117760,161310,790,?,?,44,6616,138,2,2,1,17,1898,0,0,2539,9,0
6.3269,114,0,149690,842480,1065,?,?,153,6025,1781,2,7,1,65,438,11588,1,4074,8,0
4.0916,128,105,2739.1,-4831.7,215,58,?,206,7384,3320,3,7,1,7,1324,9295,1,468,14,0
4.4322,76,371,9885.1,67166,295,52,234,254,6398,4218,3,7,1,36,232,10556,1,2229,8,0
1.8996,148,0,34917,-45625,205,10,?,185,4837,3248,2,5,1,43,383,10296,2,4104,18,0
2.5249,48,0,19991,-179280,1575,?,?,253,7299,5945,2,7,1,36,2069,19037,2,3044,12,0
3.3572,34,161,32325,357680,1325,8,264,33,4837,3369,2,7,1,36,1765,14605,2,1529,9,0
1.2245,132,0,1691.8,-2135.1,20,?,240,231,2053,5734,2,7,1,65,438,6,2,3113,12,0
2.8737,158,175,25544,-9852,2470,?,?,130,6407,630,1,7,1,47,1085,794,1,4104,8,0
3.3083,140,0,30019,-35707,690,?,?,126,4519,5813,2,7,1,41,864,4469,1,468,14,0
5.4309,66,0,232930,-514960,165,4,?,203,1243,102,2,7,1,36,619,6420,1,4709,8,0
5.4029,38,0,46264,64737,845,?,132,123,7702,5141,2,7,1,36,196,13453,1,5602,3,1
0.16706,16,0,177740,91102,590,-8,282,68,929,3907,2,7,2,36,158,11843,1,601,13,0
0.12049,16,0,556520,409380,70,-10,?,203,6082,4323,3,7,1,36,103,15700,1,3663,8,0
3.7146,60,0,10732,-134690,710,36,330,367,2269,4833,2,7,1,36,2073,4488,1,987,2,0
0.96475,36,28,192870,202720,540,12,?,114,80,1308,2,7,1,36,2073,13944,1,5178,14,1
1.3788,96,28,57765,299720,795,?,240,178,5935,1123,2,7,1,65,438,11307,2,5200,16,0
4.4435,34,182,155350,92466,555,?,?,173,415,1658,2,7,1,20,2623,10056,2,2458,16,0
4.9391,8,?,?,-1476500,?,-16,?,53,2585,4151,2,7,2,36,247,4980,1,2629,8,0
2.8186,98,35,3849,-102480,1110,32,?,379,1411,2593,2,7,1,36,1904,17396,1,2167,15,0
3.292,144,0,81690,-193830,0,?,282,71,5645,1218,2,5,1,47,1085,11636,2,1655,18,0
1.7706,20,0,4932.4,17126,835,-4,?,216,4161,4964,1,7,1,36,103,10019,2,4177,13,0
2.1995,88,42,48747,88384,470,?,?,83,4837,370,2,7,1,36,2073,5848,2,1919,23,0
6.4631,168,133,265430,-797660,240,?,?,105,3289,2273,2,7,1,74,40,13279,2,468,12,0
5.2497,76,259,220970,130970,505,?,330,172,5614,539,2,7,1,36,1760,16152,1,4931,11,0
1.9413,50,532,184630,110150,620,-28,?,247,1509,122,2,7,1,36,936,896,1,1344,8,0
1.0103,94,602,5657.1,31352,1790,22,342,157,3819,553,2,7,1,47,1085,3327,2,4661,3,0
6.3177,12,0,?,-232680,?,4,?,232,3161,2927,2,7,1,36,2069,18554,2,972,2,0
3.0327,28,0,3181.4,56047,1670,4,?,109,7842,4250,1,7,1,20,2623,14873,2,2084,20,0
6.7776,14,0,21754,-533940,475,-30,204,393,5568,5760,2,7,1,24,2094,3636,1,1296,8,0
2.7695,40,0,90485,-784240,445,14,?,311,5409,4183,2,7,1,36,2069,3765,1,129,25,1
6.5428,38,0,61934,59592,800,-24,?,353,3825,1561,3,7,2,31,977,3237,2,2822,7,1
3.5168,68,21,24025,74016,1050,44,264,205,6547,5337,2,7,1,36,656,553,1,5200,16,0
6.8906,114,7,2852.8,4070.8,380,22,282,311,401,1263,1,7,1,7,2464,17864,2,3822,25,0
2.9254,8,?,?,-1445400,?,-18,?,67,1656,2805,2,7,2,20,654,143,2,3953,19,0
1.0303,48,0,11242,-838230,580,4,?,121,7842,1941,1,7,1,20,297,10040,1,74,22,0
3.834,28,0,152440,-99981,180,-20,?,145,7020,5466,3,7,2,36,711,9904,2,3160,20,0
6.0797,12,0,189330,-930600,20,-12,?,28,2123,2739,2,7,2,36,111,3571,1,3945,8,0
0.99231,66,21,154310,156960,745,42,?,373,3779,2070,2,7,1,36,619,10835,1,2485,3,0
6.878,22,0,174300,0,225,4,?,209,6892,4866,0,7,1,36,2359,5772,1,1947,11,0
2.9098,118,0,41305,1326900,645,?,228,101,1277,4390,2,5,1,36,2335,16485,1,1894,8,1
4.8547,12,0,0,-27165,0,?,312,216,1909,2091,1,7,1,36,2069,3230,2,3521,13,0
5.5433,20,0,200040,203010,370,?,?,23,864,1279,1,7,1,36,2069,13103,2,5200,19,0
4.3307,168,21,4593.6,-1575300,945,?,?,348,2316,3042,1,7,1,41,24,9613,2,468,23,1
5.8755,24,0,154710,73289,495,4,?,335,5568,5204,2,7,1,36,2069,10899,2,3182,3,0
1.1816,26,0,60241,91308,620,-22,282,274,309,4218,2,7,2,36,711,10556,1,4074,8,0
2.6187,16,0,240700,94713,250,4,?,304,7821,5166,2,7,1,36,1940,3803,1,653,12,0
5.8725,114,224,179570,123550,855,?,156,232,1725,2927,2,7,1,24,32,18554,2,2737,2,0
3.7996,64,203,3553.9,-12328,845,40,?,335,5802,5237,0,7,1,47,10,5907,2,2744,3,0
5.2617,42,0,109280,98325,570,-20,144,308,952,4784,3,7,2,24,938,10119,1,3090,8,0
2.8573,32,0,146700,85197,765,4,?,90,7605,2573,2,7,1,36,2073,16393,2,2647,12,0
1.9062,180,133,131820,31176,530,30,?,246,6877,2657,3,7,1,51,1102,18039,2,468,5,0
4.4698,120,0,223920,142420,405,6,?,70,4016,3433,2,7,1,47,1085,14670,2,4120,15,0
4.3873,48,7,22227,58763,380,24,288,206,4775,1110,1,7,1,24,1811,2166,2,2737,14,0
6.4326,30,?,144450,145050,605,6,?,374,2566,5253,2,7,1,36,1779,2446,2,5083,23,0
1.915,18,0,379400,61958,215,?,?,379,1062,5246,3,7,1,20,654,15780,2,3633,15,0
2.8643,44,0,19654,-29724,5005,-20,366,108,4742,3957,2,7,2,36,2073,8121,1,4905,14,0
4.2408,56,315,9088.4,7585.6,1735,28,300,295,4837,2117,2,7,1,22,1251,12642,2,2244,20,0
4.2792,146,0,219610,102730,535,?,300,173,3024,116,1,7,1,65,438,1666,1,4665,16,0
3.3001,156,98,3520.5,-344.86,565,?,348,80,6997,3086,2,7,1,47,1085,12868,1,282,15,0
3.7483,186,49,6598,115960,5175,?,?,50,7962,2137,2,7,1,46,1075,1568,2,468,5,0
3.5924,84,0,0,0,0,60,132,39,2071,3018,2,7,1,36,1904,7324,1,3028,17,0
1.5665,48,14,158630,164940,630,?,252,362,4797,5574,2,7,1,20,654,11635,2,3306,5,0
2.9735,12,0,0,-520270,0,4,?,219,235,3096,2,7,1,36,2027,15914,1,205,8,0
6.1809,82,21,219780,139860,425,?,342,359,7168,4168,2,7,1,36,1904,3006,1,175,7,0
3.0669,22,0,209580,166250,555,4,318,171,5566,2863,2,7,1,36,1765,12118,2,1950,14,0
5.241,54,21,46012,-45703,1180,28,246,94,4016,1,2,7,1,36,2073,2691,1,3849,8,0
4.9754,4,?,?,-4814400,?,?,?,283,6082,155,1,7,1,36,2359,10187,2,1781,23,0
3.012,100,14,7624.5,28480,180,?,360,20,6926,2429,1,7,1,47,10,4740,1,1442,20,0
5.6905,98,7,60488,-144250,795,?,138,81,4572,3278,2,7,1,36,1222,2749,2,2669,16,0
4.711,194,28,6327.3,-560420,1205,34,330,50,1479,2542,2,7,1,51,570,2725,2,468,5,0
