@relation 'numeric churn-weka.filters.unsupervised.attribute.Remove-R1,3-12,14-28,30-72,75-80,82-89,91-112,114-125,127-129,131-137,139-188,190-191,193-198,200,202-204,206-210,213-216,219-229'

@attribute Var2 numeric
@attribute Var13 numeric
@attribute Var29 numeric
@attribute Var73 numeric
@attribute Var74 numeric
@attribute Var81 numeric
@attribute Var90 numeric
@attribute Var113 numeric
@attribute Var126 numeric
@attribute Var130 numeric
@attribute Var138 numeric
@attribute Var189 numeric
@attribute Var192 numeric
@attribute Var199 numeric
@attribute Var201 numeric
@attribute Var205 numeric
@attribute Var211 numeric
@attribute Var212 numeric
@attribute Var217 numeric
@attribute Var218 numeric
@attribute Label {0,1}

@data
?,184,?,36,35,7333.1,?,117630,8,?,?,462,250,6419,0,2,1,47,16815,2,0
?,0,?,26,0,151100,?,-356410,?,?,?,?,102,7842,0,3,1,36,0,0,1
?,904,?,130,518,16212,?,405100,-28,?,?,?,276,7855,2,2,1,45,11651,1,0
?,0,?,12,0,?,?,-275700,-14,?,?,?,300,588,0,2,2,36,12591,1,0
?,3216,?,82,224,37424,?,10715,58,?,?,?,148,3825,2,3,1,47,5272,1,0
?,3156,?,126,196,11371,?,369810,?,?,?,?,309,5332,0,2,1,6,18854,1,0
?,2952,?,114,392,31655,?,-808530,-24,?,?,228,192,2820,2,2,2,47,7318,1,0
?,0,?,18,0,402440,?,101920,-8,?,?,?,274,2149,0,2,2,36,3011,1,0
?,2912,?,72,91,117760,?,161310,?,?,?,?,44,6616,2,2,1,17,0,0,0
?,164,?,114,0,149690,?,842480,?,?,?,?,153,6025,2,2,1,65,11588,1,0
?,2060,?,128,105,2739.1,?,-4831.7,58,?,?,?,206,7384,2,3,1,7,9295,1,0
?,2892,?,76,371,9885.1,?,67166,52,?,?,234,254,6398,2,3,1,36,10556,1,0
?,2044,?,148,0,34917,?,-45625,10,?,?,?,185,4837,0,2,1,43,10296,2,0
?,0,?,48,0,19991,?,-179280,?,?,?,?,253,7299,2,2,1,36,19037,2,0
?,500,?,34,161,32325,?,357680,8,?,?,264,33,4837,0,2,1,36,14605,2,0
?,348,?,132,0,1691.8,?,-2135.1,?,?,?,240,231,2053,0,2,1,65,6,2,0
?,2024,?,158,175,25544,?,-9852,?,?,?,?,130,6407,2,1,1,47,794,1,0
?,28,?,140,0,30019,?,-35707,?,?,?,?,126,4519,0,2,1,41,4469,1,0
?,1752,?,66,0,232930,?,-514960,4,?,?,?,203,1243,2,2,1,36,6420,1,0
?,0,?,38,0,46264,?,64737,?,?,?,132,123,7702,0,2,1,36,13453,1,1
?,0,?,16,0,177740,?,91102,-8,?,?,282,68,929,0,2,2,36,11843,1,0
?,0,?,16,0,556520,?,409380,-10,?,?,?,203,6082,0,3,1,36,15700,1,0
?,24,?,60,0,10732,?,-134690,36,?,?,330,367,2269,0,2,1,36,4488,1,0
?,76,?,36,28,192870,?,202720,12,?,?,?,114,80,0,2,1,36,13944,1,1
?,64,?,96,28,57765,?,299720,?,?,?,240,178,5935,2,2,1,65,11307,2,0
?,652,?,34,182,155350,?,92466,?,?,?,?,173,415,0,2,1,20,10056,2,0
?,?,?,8,?,?,?,-1476500,-16,?,0,?,53,2585,0,2,2,36,4980,1,0
?,84,?,98,35,3849,?,-102480,32,?,?,?,379,1411,2,2,1,36,17396,1,0
?,48,?,144,0,81690,?,-193830,?,?,?,282,71,5645,0,2,1,47,11636,2,0
?,0,?,20,0,4932.4,?,17126,-4,?,?,?,216,4161,0,1,1,36,10019,2,0
?,4896,?,88,42,48747,?,88384,?,?,?,?,83,4837,0,2,1,36,5848,2,0
?,4688,?,168,133,265430,?,-797660,?,?,?,?,105,3289,0,2,1,74,13279,2,0
?,7124,?,76,259,220970,?,130970,?,?,?,330,172,5614,2,2,1,36,16152,1,0
?,2616,?,50,532,184630,?,110150,-28,?,?,?,247,1509,2,2,1,36,896,1,0
?,5324,?,94,602,5657.1,?,31352,22,?,?,342,157,3819,0,2,1,47,3327,2,0
?,0,?,12,0,?,?,-232680,4,?,?,?,232,3161,0,2,1,36,18554,2,0
?,0,?,28,0,3181.4,?,56047,4,?,?,?,109,7842,0,1,1,20,14873,2,0
?,0,?,14,0,21754,?,-533940,-30,?,?,204,393,5568,0,2,1,24,3636,1,0
?,108,?,40,0,90485,?,-784240,14,?,?,?,311,5409,0,2,1,36,3765,1,1
?,120,?,38,0,61934,?,59592,-24,?,?,?,353,3825,0,3,2,31,3237,2,1
?,484,?,68,21,24025,?,74016,44,?,?,264,205,6547,2,2,1,36,553,1,0
?,2240,?,114,7,2852.8,?,4070.8,22,?,?,282,311,401,0,1,1,7,17864,2,0
?,?,?,8,?,?,?,-1445400,-18,?,0,?,67,1656,0,2,2,20,143,2,0
?,144,?,48,0,11242,?,-838230,4,?,?,?,121,7842,0,1,1,20,10040,1,0
?,0,?,28,0,152440,?,-99981,-20,?,?,?,145,7020,0,3,2,36,9904,2,0
?,0,?,12,0,189330,?,-930600,-12,?,?,?,28,2123,0,2,2,36,3571,1,0
?,268,?,66,21,154310,?,156960,42,?,?,?,373,3779,2,2,1,36,10835,1,0
?,0,?,22,0,174300,?,0,4,?,?,?,209,6892,0,0,1,36,5772,1,0
?,1112,?,118,0,41305,?,1326900,?,?,?,228,101,1277,2,2,1,36,16485,1,1
?,0,?,12,0,0,?,-27165,?,?,?,312,216,1909,0,1,1,36,3230,2,0
?,0,?,20,0,200040,?,203010,?,?,?,?,23,864,0,1,1,36,13103,2,0
?,396,?,168,21,4593.6,?,-1575300,?,?,?,?,348,2316,0,1,1,41,9613,2,1
?,0,?,24,0,154710,?,73289,4,?,?,?,335,5568,0,2,1,36,10899,2,0
?,0,?,26,0,60241,?,91308,-22,?,?,282,274,309,0,2,2,36,10556,1,0
?,0,?,16,0,240700,?,94713,4,?,?,?,304,7821,0,2,1,36,3803,1,0
?,2972,?,114,224,179570,?,123550,?,?,?,156,232,1725,0,2,1,24,18554,2,0
?,380,?,64,203,3553.9,?,-12328,40,?,?,?,335,5802,0,0,1,47,5907,2,0
?,0,?,42,0,109280,?,98325,-20,?,?,144,308,952,0,3,2,24,10119,1,0
?,24,?,32,0,146700,?,85197,4,?,?,?,90,7605,0,2,1,36,16393,2,0
?,1304,?,180,133,131820,?,31176,30,?,?,?,246,6877,0,3,1,51,18039,2,0
?,1008,?,120,0,223920,?,142420,6,?,?,?,70,4016,2,2,1,47,14670,2,0
?,28,?,48,7,22227,?,58763,24,?,?,288,206,4775,0,1,1,24,2166,2,0
?,?,?,30,?,144450,?,145050,6,?,?,?,374,2566,0,2,1,36,2446,2,0
?,0,?,18,0,379400,?,61958,?,?,?,?,379,1062,0,3,1,20,15780,2,0
?,196,?,44,0,19654,?,-29724,-20,?,?,366,108,4742,0,2,2,36,8121,1,0
?,2780,?,56,315,9088.4,?,7585.6,28,?,?,300,295,4837,0,2,1,22,12642,2,0
?,216,?,146,0,219610,?,102730,?,?,?,300,173,3024,2,1,1,65,1666,1,0
?,2312,?,156,98,3520.5,?,-344.86,?,?,?,348,80,6997,2,2,1,47,12868,1,0
?,4760,?,186,49,6598,?,115960,?,?,?,?,50,7962,0,2,1,46,1568,2,0
?,44,?,84,0,0,?,0,60,?,?,132,39,2071,2,2,1,36,7324,1,0
?,768,?,48,14,158630,?,164940,?,?,?,252,362,4797,0,2,1,20,11635,2,0
?,0,?,12,0,0,?,-520270,4,?,?,?,219,235,0,2,1,36,15914,1,0
?,100,?,82,21,219780,?,139860,?,?,?,342,359,7168,2,2,1,36,3006,1,0
?,0,?,22,0,209580,?,166250,4,?,?,318,171,5566,0,2,1,36,12118,2,0
?,616,?,54,21,46012,?,-45703,28,?,?,246,94,4016,0,2,1,36,2691,1,0
?,?,0,4,?,?,0,-4814400,?,?,?,?,283,6082,0,1,1,36,10187,2,0
?,2028,?,100,14,7624.5,?,28480,?,?,?,360,20,6926,0,1,1,47,4740,1,0
?,1424,?,98,7,60488,?,-144250,?,?,?,138,81,4572,2,2,1,36,2749,2,0
?,688,?,194,28,6327.3,?,-560420,34,?,?,330,50,1479,2,2,1,51,2725,2,0
?,0,?,22,0,91851,?,-919270,4,?,?,282,152,1710,0,2,1,36,8527,1,0
?,12256,?,158,2086,231200,?,-339880,-30,?,?,?,57,4719,2,2,1,30,2098,1,0
?,0,?,16,0,81335,?,188560,?,?,?,?,139,5761,0,2,1,20,11615,2,1
?,2260,?,108,42,16249,?,93452,8,?,?,?,123,6997,0,2,1,45,5803,1,0
?,1572,?,104,35,0,?,0,?,?,?,?,296,0,0,0,1,36,16338,2,0
?,0,?,18,0,211960,?,234160,-6,?,?,?,135,5935,0,2,2,36,18684,1,0
?,976,?,42,266,25945,?,-58746,16,?,?,234,360,4797,0,2,1,36,3733,1,0
?,?,?,10,?,?,?,-1296200,4,?,?,288,131,5568,0,2,1,36,16823,2,0
?,0,?,22,0,61825,?,504210,-2,?,?,324,227,2114,0,1,1,36,18628,2,0
?,84,?,54,21,216190,?,126720,30,?,?,?,7,4272,0,1,1,36,10457,1,0
?,?,?,10,?,?,?,-1264600,4,?,?,318,288,3324,0,2,1,36,2405,2,0
?,0,?,22,0,226800,?,-300670,-22,?,?,?,107,5770,0,2,2,36,4585,2,0
?,1080,?,102,7,45756,?,12812,24,?,?,?,159,4837,0,2,1,47,7634,2,0
?,0,?,20,0,337830,?,-35328,-4,?,?,138,152,1164,0,3,2,24,10992,1,0
?,0,?,66,0,212270,?,162310,14,?,?,?,48,1449,0,2,1,65,7515,2,0
?,1184,?,146,0,87128,?,-264450,?,?,?,192,302,3814,2,0,1,45,5793,1,0
?,3088,?,116,175,102690,?,119280,36,?,?,276,166,724,2,1,1,45,1614,1,0
?,3336,?,58,168,5705.2,?,-83192,4,?,?,?,152,80,0,2,1,24,1717,2,0
?,2612,?,78,259,167650,?,97728,30,?,?,276,311,873,2,2,1,20,4724,1,0
?,0,?,14,0,161650,?,83469,-10,?,?,114,130,6502,0,2,1,36,17034,1,0
?,904,?,34,0,196120,?,51529,10,?,?,390,395,5935,0,2,1,17,11718,2,0
?,2896,?,58,329,43760,?,518080,-24,?,?,252,182,4956,0,2,2,47,2724,2,0
?,?,?,10,?,?,?,443400,-14,?,?,?,314,2053,0,2,2,36,18041,2,0
?,2980,?,58,301,8581.8,?,-88029,34,?,?,?,309,3063,0,3,1,17,14377,2,0
?,2428,?,88,0,51799,?,-442160,-26,?,?,?,118,3992,2,1,1,36,17110,1,0
?,2100,?,106,147,157360,?,208090,?,?,?,?,28,2053,2,2,1,36,5116,1,0
?,2568,?,44,84,133660,?,45714,?,?,?,168,354,4673,0,3,1,36,17556,1,0
?,916,?,52,0,112850,?,155180,22,?,?,?,176,2275,2,1,1,36,14356,1,0
?,44,?,42,0,148380,?,162190,?,?,?,?,5,5949,0,1,1,36,12693,1,0
?,544,?,34,56,96200,?,-328400,4,?,?,?,368,4797,0,0,1,20,16751,1,0
0,?,?,6,?,?,?,-1253900,-18,3,?,132,366,6374,0,2,2,36,17760,2,0
?,32,?,126,7,22716,?,133080,?,?,?,?,246,6997,0,2,1,20,1724,2,0
