Var126, rank = 7886.154215629228
Var218, rank = 6370.703539105544
Var153, rank = 3701.635458552068
Var28, rank = 1398.0736063103566
Var192, rank = 1387.3974168602292
Var57, rank = 990.7066286768786
Var217, rank = 987.9107743473846
Var133, rank = 939.9925681924285
Var222, rank = 874.3810412422972
Var83, rank = 858.0449682539682
Var227, rank = 819.6999682539683
Var199, rank = 814.0322281125734
Var204, rank = 695.8810904953319
Var198, rank = 633.3609916194919
Var211, rank = 623.9133778778843
Var220, rank = 611.006940082836
Var81, rank = 572.3719914913518
Var221, rank = 532.3932606511565
Var173, rank = 457.8785147630148
Var160, rank = 442.6740960150961
