Var217, rank = 5427.456379997776
Var126, rank = 4097.99709404361
Var73, rank = 3642.0824867699916
Var74, rank = 3604.968871845221
Var113, rank = 2061.287718911767
Var211, rank = 1953.6973049224132
Var57, rank = 1916.2516086991163
Var210, rank = 1847.9050143292673
Var81, rank = 1496.1245537263421
Var202, rank = 1105.1359523747385
Var220, rank = 967.8469219310092
Var216, rank = 857.0102911945404
Var212, rank = 822.4467305632234
Var189, rank = 785.667439166445
Var218, rank = 680.0871025777043
Var205, rank = 629.7598753950741
Var199, rank = 627.8512912952533
Var119, rank = 613.0926834886384
Var226, rank = 563.9608404331747
Var192, rank = 442.38573736041894
