Var126, rank = 5975.049411028599
Var211, rank = 4124.696135012949
Var28, rank = 3259.590203506564
Var222, rank = 2528.6489679507217
Var113, rank = 2123.9967824519263
Var57, rank = 1548.3224177858274
Var218, rank = 1482.3095590475357
Var134, rank = 1396.678304598071
Var6, rank = 1261.6443424800595
Var143, rank = 1114.951549478012
Var73, rank = 1054.8088997605419
Var199, rank = 780.306053234388
Var192, rank = 736.5571155213746
Var210, rank = 692.8451779369009
Var202, rank = 647.7955720489472
Var74, rank = 594.2672367273626
Var198, rank = 519.2086060660879
Var133, rank = 450.1647788390522
Var76, rank = 436.98512570212336
Var226, rank = 404.5092563562169
