@relation 'upselling-weka.filters.unsupervised.attribute.Remove-R1-5,7-27,30-56,58-72,74-89,91-93,95-112,114-124,127-129,131-137,139-191,193-196,198-200,203-210,212-213,215,218-229'

@attribute Var6 numeric
@attribute Var28 numeric
@attribute Var29 numeric
@attribute Var57 numeric
@attribute Var73 numeric
@attribute Var90 numeric
@attribute Var94 numeric
@attribute Var113 numeric
@attribute Var125 numeric
@attribute Var126 numeric
@attribute Var130 numeric
@attribute Var138 numeric
@attribute Var192 numeric
@attribute Var197 numeric
@attribute Var201 numeric
@attribute Var202 numeric
@attribute Var211 numeric
@attribute Var214 numeric
@attribute Var216 numeric
@attribute Var217 numeric
@attribute Label {0,1}

@data
1526,166.56,?,4.0769,36,?,?,117630,720,8,?,?,250,199,0,3948,1,0,1085,16815,0
525,353.52,?,5.408,26,?,58158,-356410,0,?,?,?,102,14,0,4745,1,0,1779,0,0
5236,220.08,?,6.5997,130,?,?,405100,5967,-28,?,?,276,175,2,479,1,10541,2152,11651,0
?,22.08,?,1.9883,12,?,?,-275700,0,-14,?,?,300,224,0,3172,2,0,1912,12591,0
1029,200,?,4.5524,82,?,89754,10715,15111,58,?,?,148,230,2,5898,1,10146,10,5272,0
658,200,?,0.16642,126,?,?,369810,1935,?,?,?,309,199,0,3679,1,0,2272,18854,0
1680,176.56,?,5.4486,114,?,?,-808530,13194,-24,?,?,192,54,2,563,2,9876,10,7318,0
77,230.56,?,5.0675,18,?,?,101920,0,-8,?,?,274,45,0,2312,2,0,247,3011,0
1176,300.32,?,2.0457,72,?,45645,161310,2754,?,?,?,44,3,2,138,1,21981,1898,0,0
1141,166.56,?,6.3269,114,?,125060,842480,6561,?,?,?,153,196,2,1781,1,6599,438,11588,0
490,133.12,?,4.0916,128,?,?,-4831.7,5823,58,?,?,206,242,2,3320,1,10966,1324,9295,0
798,133.12,?,4.4322,76,?,180960,67166,66825,52,?,?,254,199,2,4218,1,91,232,10556,0
595,240.56,?,1.8996,148,?,?,-45625,44154,10,?,?,185,6,0,3248,1,5613,383,10296,0
2268,176.56,?,2.5249,48,?,?,-179280,5202,?,?,?,253,80,2,5945,1,2320,2069,19037,0
3633,236.08,?,3.3572,34,?,4440,357680,31104,8,?,?,33,224,0,3369,1,0,1765,14605,1
259,166.56,?,1.2245,132,?,?,-2135.1,2574,?,?,?,231,3,0,5734,1,13198,438,6,0
5152,220.08,?,2.8737,158,?,?,-9852,8019,?,?,?,130,3,2,630,1,20480,1085,794,0
1449,166.56,?,3.3083,140,?,?,-35707,5319,?,?,?,126,3,0,5813,1,0,864,4469,0
574,253.52,?,5.4309,66,?,?,-514960,13788,4,?,?,203,80,2,102,1,6360,619,6420,0
658,166.56,?,5.4029,38,?,822,64737,7110,?,?,?,123,199,0,5141,1,0,196,13453,0
245,272.08,?,0.16706,16,?,97266,91102,0,-8,?,?,68,80,0,3907,2,0,158,11843,0
14,86.96,?,0.12049,16,?,?,409380,0,-10,?,?,203,14,0,4323,1,0,103,15700,0
826,166.56,?,3.7146,60,?,?,-134690,531,36,?,?,367,18,0,4833,1,16106,2073,4488,0
854,198.88,?,0.96475,36,?,?,202720,16803,12,?,?,114,25,0,1308,1,0,2073,13944,0
1218,200,?,1.3788,96,?,75,299720,25740,?,?,?,178,239,2,1123,1,9396,438,11307,1
1043,20.08,?,4.4435,34,?,678280,92466,10368,?,?,?,173,239,0,1658,1,0,2623,10056,1
?,?,?,4.9391,8,?,?,-1476500,?,-16,?,0,53,199,0,4151,2,0,247,4980,0
1533,133.12,?,2.8186,98,?,?,-102480,1701,32,?,?,379,80,2,2593,1,15424,1904,17396,0
161,257.28,?,3.292,144,?,?,-193830,223920,?,?,?,71,20,0,1218,1,9247,1085,11636,0
63,200,?,1.7706,20,?,39879,17126,0,-4,?,?,216,182,0,4964,1,0,103,10019,1
924,166.56,?,2.1995,88,?,50238,88384,31095,?,?,?,83,3,0,370,1,14251,2073,5848,0
469,285.2,?,6.4631,168,?,16263,-797660,109730,?,?,?,105,86,0,2273,1,13467,40,13279,0
833,220.08,?,5.2497,76,?,205950,130970,8523,?,?,?,172,3,2,539,1,4223,1760,16152,1
1008,133.12,?,1.9413,50,?,25446,110150,48285,-28,?,?,247,3,2,122,1,6371,936,896,0
